code,公司名稱,industry,market_value
1101,臺灣水泥股份有限公司,1,77511817420
1102,亞洲水泥股份有限公司,1,35465628810
1103,嘉新水泥股份有限公司,1,7902474590
1104,環球水泥股份有限公司,1,6866818160
1108,幸福水泥股份有限公司,1,4047380490
1109,信大水泥股份有限公司,1,3411588680
1110,東南水泥股份有限公司,1,5720007970
1201,味全食品工業股份有限公司,2,5060629140
1203,味王股份有限公司,2,2400000000
1210,大成長城企業股份有限公司,2,8947672220
1213,大西洋飲料股份有限公司,2,566226270
1215,台灣卜蜂企業股份有限公司,2,2947900980
1216,統一企業股份有限公司,2,56820154210
1217,愛之味股份有限公司,2,4945133360
1218,泰山企業股份有限公司,2,4999990380
1219,福壽實業股份有限公司,2,3412383640
1220,台榮產業股份有限公司,2,1770779440
1225,福懋油脂股份有限公司,2,2422683060
1227,佳格食品股份有限公司,2,9150895910
1229,聯華實業控股股份有限公司,2,17959606680
1231,聯華食品工業股份有限公司,2,2984544750
1232,大統益股份有限公司,2,1599749150
1233,天仁茶業股份有限公司,2,905919480
1234,黑松股份有限公司,2,4018710940
1235,興泰實業股份有限公司,2,1885778360
1236,宏亞食品股份有限公司,2,866740080
1256,鮮活控股股份有限公司,2,357721600
1301,台灣塑膠工業股份有限公司,3,63657407810
1303,南亞塑膠工業股份有限公司,3,79308215890
1304,台灣聚合化學品股份有限公司,3,11887635000
1305,華夏海灣塑膠股份有限公司,3,5810504940
1307,三芳化學工業股份有限公司,3,3978181260
1308,亞洲聚合股份有限公司,3,5937439190
1309,台達化學工業股份有限公司,3,3975868480
1310,台灣苯乙烯工業股份有限公司,3,5278697640
1312,國喬石油化學股份有限公司,3,11266203280
1313,聯成化學科技股份有限公司,3,13496896070
1314,中國石油化學工業開發(股)公司,3,37848501300
1315,達新工業股份有限公司,3,990990000
1316,上曜建設開發股份有限公司,14,3670890190
1319,東陽實業廠股份有限公司,12,5914770680
1321,大洋塑膠工業股份有限公司,3,2272282680
1323,永裕塑膠工業股份有限公司,3,912745540
1324,地球綜合工業股份有限公司,3,751218820
1325,恒大股份有限公司,3,852811980
1326,台灣化學纖維股份有限公司,3,58611862910
1337,亞洲塑膠再生資源控股有限公司,3,2689547290
1338,廣華控股有限公司,12,838400000
1339,昭輝實業股份有限公司,12,741238750
1340,勝悅新材料有限公司,3,1529228550
1341,富林塑膠工業(開曼)控股(股)公司,3,528506340
1342,八貫企業股份有限公司,20,792489020
1402,遠東新世紀股份有限公司,4,53528752270
1409,新光合成纖維股份有限公司,4,16184092860
1410,南洋染整股份有限公司,4,620000000
1413,宏洲纖維工業股份有限公司,4,1321124540
1414,東和紡織股份有限公司,4,1980000000
1416,廣豐實業股份有限公司,20,1853421680
1417,嘉裕股份有限公司,4,1899418400
1418,東華龍股份有限公司,4,568343090
1419,新光紡織股份有限公司,4,3000412800
1423,利華羊毛工業股份有限公司,4,996480000
1432,大魯閣實業股份有限公司,37,1080000000
1434,福懋興業股份有限公司,4,16846646370
1435,中福國際(股)公司,20,1397800800
1436,華友聯開發股份有限公司,14,1941517950
1437,勤益投資控股股份有限公司,20,2033712840
1438,三地開發地產股份有限公司,14,1112057590
1439,雋揚國際股份有限公司,14,920000000
1440,臺南紡織股份有限公司,4,16568158570
1441,大東紡織股份有限公司,4,717443870
1442,名軒開發股份有限公司,14,3662113580
1443,立益物流開發股份有限公司,20,1353430110
1444,力麗企業股份有限公司,4,9955950590
1445,大宇紡織股份有限公司,4,1306660340
1446,宏和精密紡織股份有限公司,4,1377095130
1447,力鵬企業股份有限公司,4,9100712420
1449,佳和實業股份有限公司,4,1271145720
1451,年興紡織股份有限公司,4,1980000000
1452,宏益纖維工業股份有限公司,4,1326414000
1453,大將開發股份有限公司,14,1132430480
1454,台灣富綢纖維股份有限公司,4,1298338480
1455,集盛實業股份有限公司,4,5316883800
1456,怡華實業股份有限公司,14,937200000
1457,宜進實業股份有限公司,4,3167300220
1459,聯發紡織纖維股份有限公司,4,3586289070
1460,宏遠興業股份有限公司,4,6946434840
1463,強盛新股份有限公司,4,1732683810
1464,得力實業股份有限公司,4,4255757330
1465,偉全實業股份有限公司,4,1036072670
1466,聚隆纖維股份有限公司,4,1111573200
1467,南緯實業股份有限公司,4,2336246670
1468,昶和纖維興業股份有限公司,4,1604052440
1470,大統新創股份有限公司,4,857670000
1471,首利實業股份有限公司,28,1504145360
1472,三洋實業股份有限公司,14,524880820
1473,台南企業股份有限公司,4,1461535340
1474,弘裕企業股份有限公司,4,1298969690
1475,台灣業旺股份有限公司,4,660167490
1476,儒鴻企業股份有限公司,4,2743671110
1477,聚陽實業股份有限公司,4,2466937130
1503,士林電機廠股份有限公司,5,5209722230
1504,東元電機股份有限公司,5,23764406840
1506,正道工業股份有限公司,5,3003885010
1512,瑞利企業股份有限公司,12,981834980
1513,中興電工機械股份有限公司,5,5031125150
1514,亞力電機股份有限公司,5,2731084730
1515,力山工業股份有限公司,5,1814735000
1516,川飛能源股份有限公司,20,400081950
1517,利奇機械工業股份有限公司,5,2233000070
1519,華城電機股份有限公司,5,3158808440
1521,大億交通工業製造股份有限公司,12,762300000
1522,堤維西交通工業股份有限公司,12,3428978810
1524,耿鼎企業股份有限公司,12,1653103970
1525,江申工業股份有限公司,12,734001350
1526,日馳企業股份有限公司,5,600000000
1527,鑽全實業股份有限公司,5,1385706400
1528,恩德科技股份有限公司,5,1913310000
1529,樂事綠能科技股份有限公司,5,1550950740
1530,亞崴機電股份有限公司,5,945941710
1531,高林股份有限公司,5,1821080800
1532,勤美股份有限公司,5,4226042710
1533,車王電子股份有限公司,12,985474860
1535,中宇環保工程股份有限公司,5,1237425520
1536,和大工業股份有限公司,12,2789595130
1537,廣隆光電科技股份有限公司,5,820627940
1538,正峰工業股份有限公司,5,323000000
1539,巨庭機械股份有限公司,5,653700000
1540,喬福機械工業股份有限公司,5,854736120
1541,錩泰工業股份有限公司,5,788000000
1558,伸興工業股份有限公司,5,665356310
1560,中國砂輪企業股份有限公司,5,1469410800
1563,巧新科技工業股份有限公司,12,2307821400
1568,倉佑實業股份有限公司,12,1030865590
1582,信錦企業股份有限公司,28,1442686040
1583,程泰機械股份有限公司,5,1094003720
1587,吉茂精密股份有限公司,12,800556720
1589,永冠能源科技集團有限公司,5,1531359410
1590,亞德客國際集團,5,1999999980
1597,直得科技股份有限公司,5,892618040
1598,岱宇國際股份有限公司,37,1791420920
1603,中華電線電纜股份有限公司,6,1916880000
1604,聲寶股份有限公司,6,3842000000
1605,華新麗華股份有限公司,6,44313329480
1608,華榮電線電纜股份有限公司,6,6327735060
1609,大亞電線電纜股份有限公司,6,7852619440
1611,中國電器股份有限公司,6,3227357420
1612,宏泰電工股份有限公司,6,3160800630
1614,台灣三洋電機股份有限公司,6,2691134060
1615,大山電線電纜股份有限公司,6,1966637020
1616,億泰電線電纜股份有限公司,6,1941485150
1617,榮星電線工業股份有限公司,6,1695147000
1618,合機電線電纜股份有限公司,6,1926917470
1626,艾美特(開曼)國際有限公司,6,1498217210
1702,南僑投資控股股份有限公司,2,2941329620
1707,葡萄王生技股份有限公司,22,1481373730
1708,東南實業股份有限公司,21,2490016510
1709,和益化學工業股份有限公司,21,4770162720
1710,東聯化學股份有限公司,21,8857030290
1711,臺灣永光化學工業股份有限公司,21,5477522260
1712,興農股份有限公司,21,4204925850
1713,國泰化工廠股份有限公司,21,1509517000
1714,和桐化學股份有限公司,21,9918248080
1717,長興材料工業股份有限公司,21,11722454830
1718,中國人造纖維股份有限公司,21,16859057450
1720,生達化學製藥股份有限公司,22,1786960890
1721,三晃股份有限公司,21,1848840920
1722,台灣肥料股份有限公司,21,9800000000
1723,中鋼碳素化學股份有限公司,21,2369044800
1725,元禎企業股份有限公司,21,1818299780
1726,永記造漆工業股份有限公司,21,1620000000
1727,臺灣中華化學工業股份有限公司,21,1280195590
1730,花仙子企業股份有限公司,21,632338510
1731,美吾華股份有限公司,22,1329152440
1732,毛寶股份有限公司,21,424439570
1733,五鼎生物技術股份有限公司,22,999501920
1734,杏輝藥品工業股份有限公司,22,1901967740
1735,日勝化工股份有限公司,21,993880000
1736,喬山健康科技股份有限公司,37,3033946170
1737,臺鹽實業股份有限公司,2,2000000000
1752,南光化學製藥股份有限公司,22,1009884720
1760,寶齡富錦生技股份有限公司,22,857390130
1762,中化合成生技股份有限公司,22,769180000
1773,勝一化工股份有限公司,21,3000000000
1776,展宇科技材料股份有限公司,21,601069520
1783,和康生物科技股份有限公司,22,896801150
1786,科妍生物科技股份有限公司,22,748276410
1789,台灣神隆股份有限公司,22,7907392220
1795,美時化學製藥股份有限公司,22,2669238120
1802,台灣玻璃工業股份有限公司,8,29080608000
1805,寶徠建設股份有限公司,14,1349704550
1806,冠軍建材股份有限公司,8,3904038700
1808,潤隆建設股份有限公司,14,8930317430
1809,中國製釉股份有限公司,8,1670419370
1810,和成欣業股份有限公司,8,3023037190
1817,凱撒衛浴股份有限公司,8,726000000
1903,士林紙業股份有限公司,9,2600391210
1904,正隆股份有限公司,9,11082745220
1905,中華紙漿股份有限公司,9,11028353160
1906,寶隆國際股份有限公司,9,1510000000
1907,永豐餘投資控股股份有限公司,9,16603714950
1909,榮成紙業股份有限公司,9,13276857270
2002,中國鋼鐵股份有限公司,10,157731289960
2006,東和鋼鐵企業股份有限公司,10,7302138180
2007,燁興企業股份有限公司,10,5306516130
2008,高興昌鋼鐵股份有限公司,10,1908522930
2009,第一伸銅科技股份有限公司,10,3596221650
2010,春源鋼鐵工業股份有限公司,10,6476553900
2012,春雨工廠股份有限公司,10,3021627000
2013,中國鋼鐵結構股份有限公司,10,2000000000
2014,中鴻鋼鐵股份有限公司,10,14355444460
2015,豐興鋼鐵股份有限公司,10,5815994240
2017,官田鋼鐵股份有限公司,10,4468746910
2020,美亞鋼管廠股份有限公司,10,2670313200
2022,聚亨企業股份有限公司,10,3371681380
2023,燁輝企業股份有限公司,10,19032402140
2024,志聯工業股份有限公司,10,975000000
2025,千興不銹鋼(股)公司,10,1726605360
2027,大成不銹鋼工業股份有限公司,10,25842606150
2028,威致鋼鐵工業股份有限公司,10,3257148000
2029,盛餘股份有限公司,10,3211800000
2030,彰源企業股份有限公司,10,2805260270
2031,新光鋼鐵股份有限公司,10,3211463410
2032,新鋼工業股份有限公司,10,1305215450
2033,佳大世界股份有限公司,10,806945360
2034,允強實業股份有限公司,10,5235528540
2038,海光企業股份有限公司,10,1941343030
2049,上銀科技股份有限公司,5,3537922400
2059,川湖科技股份有限公司,28,952970720
2062,橋椿金屬股份有限公司,38,1999941520
2069,運錩鋼鐵股份有限公司,10,1663868360
2101,南港輪胎股份有限公司,11,7339349040
2102,泰豐輪胎股份有限公司,11,4733292070
2103,台橡股份有限公司,11,8257099780
2104,國際中橡投資控股股份有限公司,11,9847336250
2105,正新橡膠工業股份有限公司,11,32414155360
2106,建大工業股份有限公司,11,9548900000
2107,厚生股份有限公司,11,3035934000
2108,南帝化學工業股份有限公司,11,4924166590
2109,華豐橡膠工業股份有限公司,11,2793491340
2114,鑫永銓股份有限公司,11,779917070
2115,六暉控股股份有限公司,12,1043731630
2201,裕隆汽車製造股份有限公司,12,10700012510
2204,中華汽車工業股份有限公司,12,5536203420
2206,三陽工業股份有限公司,12,7917966040
2207,和泰汽車股份有限公司,12,5571027680
2208,台灣國際造船股份有限公司,15,12745394490
2211,長榮鋼鐵股份有限公司,10,4170914630
2227,裕隆日產汽車股份有限公司,12,3000000000
2228,劍麟股份有限公司,12,795313390
2231,為升電裝工業股份有限公司,12,1359176080
2233,宇隆科技股份有限公司,12,602880890
2236,百達精密工業股份有限公司,12,595556560
2239,開曼英利工業股份有限公司,12,1203465930
2241,艾姆勒科技股份有限公司,12,1046023060
2243,宏旭控股股份有限公司,12,693735960
2247,汎德永業汽車股份有限公司,12,807087350
2248,華勝汽車電子股份有限公司,12,476000000
2250,第一化成控股(開曼)股份有限公司,12,363882260
2254,巨鎧精密工業股份有限公司,12,639076800
2258,鴻華先進科技股份有限公司,12,17413140000
2301,光寶科技股份有限公司,25,23167757630
2302,麗正國際科技股份有限公司,24,1663028810
2303,聯華電子股份有限公司,24,125563274190
2305,全友電腦股份有限公司,25,2056608270
2308,台達電子工業股份有限公司,28,25975433290
2312,金寶電子工業股份有限公司,31,15049932110
2313,華通電腦股份有限公司,28,11918205890
2314,台揚科技股份有限公司,27,1061264220
2316,楠梓電子股份有限公司,28,1827405360
2317,鴻海精密工業股份有限公司,31,139642222940
2321,東訊股份有限公司,27,302719290
2323,中環股份有限公司,26,10893483280
2324,仁寶電腦工業股份有限公司,25,44071466250
2327,國巨股份有限公司,28,5182414550
2328,廣宇科技股份有限公司,28,5183462820
2329,華泰電子股份有限公司,24,6590043330
2330,台灣積體電路製造股份有限公司,24,259325245210
2331,精英電腦股份有限公司,25,5574029680
2332,友訊科技股份有限公司,27,6022720730
2337,旺宏電子股份有限公司,24,18573481760
2338,台灣光罩股份有限公司,24,3168491830
2340,台亞半導體股份有限公司,24,4386228460
2342,台灣茂矽電子股份有限公司,24,1575247440
2344,華邦電子股份有限公司,24,45000001930
2345,智邦科技股份有限公司,27,5611178970
2347,聯強國際股份有限公司,29,16679469680
2348,海悅國際開發股份有限公司,20,1818988530
2349,錸德科技股份有限公司,26,6936796630
2351,順德工業股份有限公司,24,1821402490
2352,佳世達科技股份有限公司,25,15805065050
2353,宏碁股份有限公司,25,30478538280
2354,鴻準精密工業股份有限公司,31,14144851920
2355,敬鵬工業股份有限公司,28,3974954200
2356,英業達股份有限公司,25,35874750660
2357,華碩電腦股份有限公司,25,7427602800
2359,所羅門股份有限公司,31,1714710520
2360,致茂電子股份有限公司,31,4252617420
2362,藍天電腦股份有限公司,25,6222630000
2363,矽統科技股份有限公司,24,5149881610
2364,倫飛電腦實業股份有限公司,25,523897100
2365,昆盈企業股份有限公司,25,2215284960
2367,燿華電子股份有限公司,28,7062531750
2368,金像電子(股)公司,28,4918395050
2369,菱生精密工業股份有限公司,24,3801023440
2371,大同股份有限公司,5,21508348510
2373,震旦行股份有限公司,31,2362025180
2374,佳能企業股份有限公司,26,3245871330
2375,凱美電機股份有限公司,28,1086753340
2376,技嘉科技股份有限公司,25,6698888860
2377,微星科技股份有限公司,25,8448561990
2379,瑞昱半導體股份有限公司,24,5128636410
2380,虹光精密工業股份有限公司,25,2169340840
2382,廣達電腦股份有限公司,25,38626274320
2383,台光電子材料股份有限公司,28,3575354760
2385,群光電子股份有限公司,28,7600531720
2387,精元電腦股份有限公司,25,1952510510
2388,威盛電子股份有限公司,24,5556009410
2390,云辰電子開發股份有限公司,31,1926194420
2392,正崴精密工業股份有限公司,28,5123269400
2393,億光電子工業股份有限公司,26,4433930860
2395,研華股份有限公司,25,8651897910
2397,友通資訊股份有限公司,25,1144888570
2399,映泰股份有限公司,25,1781000000
2401,凌陽科技股份有限公司,24,5919949190
2402,毅嘉科技股份有限公司,28,3075365330
2404,漢唐集成股份有限公司,31,1905866980
2405,輔信科技股份有限公司,25,3434273030
2406,國碩科技工業股份有限公司,26,3509056890
2408,南亞科技股份有限公司,24,30986278940
2409,友達光電股份有限公司,26,75470989720
2412,中華電信股份有限公司,27,77574465450
2413,環隆科技股份有限公司,28,1273592000
2414,精技電腦股份有限公司,29,1617358460
2415,錩新科技股份有限公司,28,900000000
2417,圓剛科技股份有限公司,25,1574638640
2419,仲琦科技股份有限公司,27,3213172290
2420,新巨企業股份有限公司,28,1526486880
2421,建準電機工業股份有限公司,28,2734436690
2423,固緯電子實業股份有限公司,31,1450472890
2424,隴華電子股份有限公司,27,589850000
2425,承啟科技股份有限公司,25,964988310
2426,鼎元光電科技股份有限公司,26,3006222520
2427,三商電腦股份有限公司,30,1973013390
2428,興勤電子工業股份有限公司,28,1281127260
2429,銘旺科技股份有限公司,26,855000000
2430,燦坤實業股份有限公司,29,1168000000
2431,聯昌電子企業股份有限公司,28,1109270140
2432,倚天酷碁股份有限公司,25,618600000
2433,互盛股份有限公司,31,1444960110
2434,統懋半導體股份有限公司,24,370000000
2436,偉詮電子股份有限公司,24,2015280740
2438,翔耀實業股份有限公司,26,651956410
2439,美律實業股份有限公司,27,2538396140
2440,太空梭高傳真資訊科技(股)公司,28,1391172710
2441,超豐電子股份有限公司,24,5688459210
2442,新美齊股份有限公司,14,2660082630
2444,兆勁科技股份有限公司,27,1015695730
2449,京元電子股份有限公司,24,12227450650
2450,神腦國際企業股份有限公司,27,2582526570
2451,創見資訊股份有限公司,24,4307016750
2453,凌群電腦股份有限公司,30,1000000000
2454,聯發科技股份有限公司,24,16039121820
2455,全新光電科技股份有限公司,27,1849059180
2457,飛宏科技股份有限公司,28,4247724160
2458,義隆電子股份有限公司,24,3038803920
2459,敦吉科技股份有限公司,31,1055956150
2460,建通精密工業股份有限公司,28,1692000000
2461,光群雷射科技股份有限公司,31,1743069380
2462,台灣良得電子股份有限公司,28,1507844820
2464,盟立自動化股份有限公司,31,2064512260
2465,麗臺科技股份有限公司,25,839460310
2466,冠西電子企業股份有限公司,26,1734586970
2467,志聖工業股份有限公司,28,1567553480
2468,華經資訊企業股份有限公司,30,699612490
2471,資通電腦股份有限公司,30,472538900
2472,立隆電子工業股份有限公司,28,1647351370
2474,可成科技股份有限公司,31,6236690680
2476,鉅祥企業股份有限公司,28,2166208840
2477,美隆工業股份有限公司,31,1585732440
2478,大毅科技股份有限公司,28,1447313390
2480,敦陽科技股份有限公司,30,1063602910
2481,強茂股份有限公司,24,3821149270
2482,連宇股份有限公司,31,778827110
2483,百容電子股份有限公司,28,1078898070
2484,希華晶體科技股份有限公司,28,1594210220
2485,兆赫電子股份有限公司,27,3176890370
2486,一詮精密工業股份有限公司,26,2339585790
2488,漢平電子工業股份有限公司,31,799994330
2489,瑞軒科技股份有限公司,26,6100000000
2491,吉祥全球實業股份有限公司,26,820080000
2492,華新科技股份有限公司,28,4858047740
2493,揚博科技股份有限公司,28,1267966290
2495,普安科技股份有限公司,25,2735515380
2496,卓越成功股份有限公司,20,191004400
2497,怡利電子工業股份有限公司,12,1180876760
2498,宏達國際電子股份有限公司,27,8353399860
2501,國泰建設股份有限公司,14,11595610590
2504,國產建材實業股份有限公司,14,11800000000
2505,國揚實業股份有限公司,14,3800000000
2506,太平洋建設股份有限公司,14,3870000000
2509,全坤建設開發股份有限公司,14,2245505300
2511,太子建設開發股份有限公司,14,16233261470
2514,龍邦國際興業股份有限公司,20,3947292780
2515,中華工程股份有限公司,14,15308998220
2516,新亞建設開發股份有限公司,14,2262784570
2520,冠德建設股份有限公司,14,6094871100
2524,京城建設股份有限公司,14,3659835450
2527,宏璟建設股份有限公司,14,2703060000
2528,皇普建設股份有限公司,14,4340264670
2530,大華建設股份有限公司,14,8399880000
2534,宏盛建設股份有限公司,14,4742279700
2535,達欣工程股份有限公司,14,2707939670
2536,宏普建設股份有限公司,14,3328086520
2537,聯上開發股份有限公司,14,3005577950
2538,基泰建設股份有限公司,14,4450254950
2539,櫻花建設股份有限公司,14,11931025810
2540,愛山林建設開發股份有限公司,14,9448739650
2542,興富發建設股份有限公司,14,21730835390
2543,皇昌營造股份有限公司,14,5323839610
2545,皇翔建設股份有限公司,14,3797348080
2546,根基營造股份有限公司,14,1305241930
2547,日勝生活科技股份有限公司,14,10350946490
2548,華固建設股份有限公司,14,3197186970
2597,潤弘精密工程事業股份有限公司,14,3107160000
2601,益航股份有限公司,18,8247760670
2603,長榮海運股份有限公司,15,21650429960
2605,新興航運股份有限公司,15,5853532970
2606,裕民航運股份有限公司,15,8450557120
2607,長榮國際儲運股份有限公司,15,5335705470
2608,嘉里大榮物流股份有限公司,15,4670004980
2609,陽明海運股份有限公司,15,34921042700
2610,中華航空股份有限公司,15,60839235590
2611,志信國際股份有限公司,15,1890022720
2612,中國航運股份有限公司,15,1974845930
2613,中國貨櫃運輸股份有限公司,15,1484234580
2614,東森國際股份有限公司,20,3002430700
2615,萬海航運股份有限公司,15,28061462930
2616,山隆通運股份有限公司,23,1372818270
2617,台灣航業股份有限公司,15,4172944870
2618,長榮航空股份有限公司,15,54004443350
2630,亞洲航空股份有限公司,15,2094382040
2633,台灣高速鐵路股份有限公司,15,56282930580
2634,漢翔航空工業股份有限公司,15,9418671010
2636,台驊國際控股股份有限公司,15,1418352300
2637,慧洋海運股份有限公司,15,7464091990
2642,台灣宅配通股份有限公司,15,954670000
2645,長榮航太科技股份有限公司,15,3745709620
2646,星宇航空股份有限公司,15,30087350000
2701,萬華企業股份有限公司,16,4499678380
2702,華園飯店股份有限公司,16,1566132490
2704,國賓大飯店股份有限公司,16,3669233430
2705,六福開發股份有限公司,16,1913128300
2706,第一華僑大飯店股份有限公司,16,4999983460
2707,晶華國際酒店股份有限公司,16,1274032380
2712,遠雄悅來大飯店股份有限公司,16,1050000000
2722,夏都國際開發股份有限公司,16,1431696960
2723,開曼美食達人股份有限公司,16,1800000000
2727,王品餐飲股份有限公司,16,844511090
2731,雄獅旅行社股份有限公司,16,932777390
2739,寒舍餐旅管理顧問股份有限公司,16,915260000
2748,雲品國際酒店股份有限公司,16,1057787400
2753,八方雲集國際股份有限公司,16,666447960
2762,世界健身股份有限公司,37,1125000000
2801,彰化商業銀行股份有限公司,17,117660462530
2812,台中商業銀行股份有限公司,17,59216259210
2816,旺旺友聯產物保險股份有限公司,17,2236080000
2820,中華票券金融股份有限公司,17,13429600000
2832,台灣產物保險股份有限公司,17,2535402800
2834,臺灣中小企業銀行股份有限公司,17,97180618490
2836,高雄銀行股份有限公司,17,18799169850
2838,聯邦商業銀行股份有限公司,17,45405517790
2845,遠東國際商業銀行股份有限公司,17,43822847310
2849,安泰商業銀行股份有限公司,17,19576093490
2850,新光產物保險股份有限公司,17,3159633000
2851,中央再保險股份有限公司,17,8003887500
2852,第一產物保險股份有限公司,17,3011637840
2855,統一綜合證券股份有限公司,17,16014144780
2867,三商美邦人壽保險股份有限公司,17,58995010440
2880,華南金融控股股份有限公司,17,139169650890
2881,富邦金融控股股份有限公司,17,156073549520
2882,國泰金融控股股份有限公司,17,162025101280
2883,凱基金融控股股份有限公司,17,185571755770
2884,玉山金融控股股份有限公司,17,161740000000
2885,元大金融控股股份有限公司,17,133311499460
2886,兆豐金融控股股份有限公司,17,148333782820
2887,台新新光金融控股股份有限公司,17,293574877820
2889,國票金融控股股份有限公司,17,36335634710
2890,永豐金融控股股份有限公司,17,145023222750
2891,中國信託金融控股股份有限公司,17,201497561140
2892,第一金融控股股份有限公司,17,143794686500
2897,王道商業銀行股份有限公司,17,30553578780
2901,欣欣大眾市場股份有限公司,18,730432830
2903,遠東百貨股份有限公司,18,14169405890
2904,匯僑股份有限公司,20,778344320
2905,三商投資控股股份有限公司,18,11103717030
2906,高林實業股份有限公司,18,2091166480
2908,特力股份有限公司,18,5098875580
2910,統領百貨股份有限公司,18,1754030000
2911,麗嬰房股份有限公司,18,1051259990
2912,統一超商股份有限公司,18,10396222550
2913,台灣農林股份有限公司,18,7900000000
2915,潤泰全球股份有限公司,18,11043187720
2923,鼎固控股有限公司,14,17402969820
2929,淘帝國際控股有限公司,18,1094938380
2939,永邑國際集團股份有限公司,18,455486650
2945,三商家購股份有限公司,18,675000000
3002,歐格電子股份有限公司,25,1020000000
3003,健和興端子股份有限公司,28,1556548900
3004,豐達科技股份有限公司,10,556850550
3005,神基控股股份有限公司,25,6208444000
3006,晶豪科技股份有限公司,24,2861722380
3008,大立光電股份有限公司,26,1334681970
3010,華立企業股份有限公司,29,2594368170
3011,今皓實業股份有限公司,28,1251468510
3013,晟銘電子科技股份有限公司,25,2051389300
3014,聯陽半導體股份有限公司,24,1660201240
3015,全漢企業股份有限公司,28,1872619500
3016,嘉晶電子股份有限公司,24,2885418190
3017,奇鋐科技股份有限公司,25,3907127570
3018,隆銘綠能科技工程股份有限公司,31,753777150
3019,亞洲光學股份有限公司,26,2792439010
3021,鴻名企業股份有限公司,28,948900000
3022,威強電工業電腦股份有限公司,25,1765977900
3023,信邦電子股份有限公司,28,2400690140
3024,憶聲電子股份有限公司,26,2771574960
3025,星通資訊股份有限公司,27,567364400
3026,禾伸堂企業股份有限公司,28,1658903180
3027,盛達電業股份有限公司,27,1160645610
3028,增你強股份有限公司,29,2372411930
3029,零壹科技股份有限公司,30,1670052120
3030,德律科技股份有限公司,31,2362160000
3031,佰鴻工業股份有限公司,26,1732032240
3032,偉訓科技股份有限公司,28,1132856260
3033,威健實業股份有限公司,29,4798785900
